Twb_C,Tdb_C,W,W_gpkg
-10,-9,0.00136153,1.3615295559973666
-10,-8,0.00095572,0.9557198071773924
-10,-7,0.000550521,0.5505210964581051
-10,-6,0.000145932,0.14593204473426355
-5,-4,0.002195412,2.1954116177488445
-5,-3,0.001787015,1.787015305555496
-5,-2,0.001379237,1.3792368866879787
-5,-1,0.000972075,0.9720749599312732
-5,0,0.000565528,0.5655281282829469
-5,1,0.000159595,0.15959499897220503
0,1,0.003366855,3.366855185048225
0,2,0.00295559,2.9555904721100723
0,3,0.002544951,2.5449510025640985
0,4,0.002134935,2.134935351697496
0,5,0.001725542,1.7255420990527128
0,6,0.00131677,1.3167698285279466
0,7,0.000908617,0.9086171282890811
0,8,0.000501083,0.5010825908328707
0,9,9.41648128346408e-05,0.094164813
5,5,0.005405523,5.405522514782836
5,6,0.004990381,4.990381217505445
5,7,0.004575875,4.575874610159194
5,8,0.004162001,4.1620012383020715
5,9,0.00374876,3.748759652062563
5,10,0.003336148,3.3361484057976747
5,11,0.002924166,2.924166058400469
5,12,0.002512811,2.512811173087213
5,13,0.002102082,2.102082317586499
5,14,0.001691978,1.691978063773643
5,15,0.001282497,1.2824969880037722
5,16,0.000873638,0.8736376709195613
5,17,0.000465399,0.46539869746483953
5,18,5.777865690967552e-05,0.057778657
10,10,0.007631971,7.631970699003498
10,11,0.007213087,7.213086688326945
10,12,0.006794846,6.7948462205155105
10,13,0.006377248,6.377247813668576
10,14,0.00596029,5.960289990432118
10,15,0.005543971,5.543971277982087
10,16,0.00512829,5.128290208004201
10,17,0.004713245,4.713245317
10,18,0.004298835,4.298835144668905
10,19,0.003885058,3.8850582370875264
10,20,0.003471913,3.4719131434977606
10,21,0.003059398,3.059398417883677
10,22,0.002647513,2.647512618621883
10,23,0.002236254,2.2362543085856035
10,24,0.001825622,1.8256220548471231
10,25,0.001415614,1.4156144289629138
10,26,0.00100623,1.0062300067992476
10,27,0.000597467,0.597467369
10,28,0.000189325,0.18932509871318706
15,15,0.010646346500964438,10.646346500964437
15,16,0.010223074,10.223074272881151
15,17,0.009800456,9.800455524161311
15,18,0.009378489,9.378488743
15,19,0.008957172,8.957172420797136
15,20,0.008536505,8.536505055785348
15,21,0.008116485,8.116485149362049
15,22,0.007697111,7.697111208
15,23,0.007278382,7.278381742365873
15,24,0.006860295,6.860295268290927
15,25,0.00644285,6.442850306
15,26,0.006026045,6.0260453794184725
15,27,0.005609879,5.609879018421779
15,28,0.00519435,5.194349756401102
15,29,0.004779456,4.779456131506679
15,30,0.004365197,4.365196686347508
15,31,0.00395157,3.9515699679843674
15,32,0.003538575,3.538574527912945
15,33,0.003126209,3.1262089220467715
15,34,0.002714472,2.7144717106990943
15,35,0.002303361,2.3033614585636775
15,36,0.001892877,1.8928767346897757
15,37,0.001483016,1.4830161126115053
15,38,0.001073778,1.0737781699404356
15,39,0.000665161,0.6651614888000603
15,40,0.000257165,0.2571646555637073
20,20,0.014689061601077203,14.689061601077203
20,21,0.014260559439553575,14.260559439553575
20,22,0.013832722097928133,13.832722097928134
20,23,0.013405548,13.40554803019813
20,24,0.012979036,12.979035695152279
20,25,0.012553183556354746,12.553183556354746
20,26,0.012127990082115491,12.127990082115492
20,27,0.011703453745486531,11.70345374548653
20,28,0.011279573,11.27957302422964
20,29,0.010856346400808162,10.856346400808162
20,30,0.010433772362362724,10.433772362362724
20,31,0.010011849400683191,10.011849400683191
20,32,0.009590576,9.590576012271894
20,33,0.009169951,9.169950698144808
20,34,0.008749972,8.749971964004455
20,35,0.008330638,8.330638320123684
20,36,0.007911948,7.911948281348317
20,37,0.0074939,7.493900367079664
20,38,0.007076493,7.076493101255943
20,39,0.006659725,6.659725012333588
20,40,0.006243595,6.2435946332641405
20,41,0.005828101,5.828100501566211
20,42,0.005413241,5.413241159074425
20,43,0.004999015,4.999015152189477
20,44,0.004585421,4.5854210317163275
20,45,0.004172457,4.172457352878086
20,46,0.003760123,3.760122675298933
20,47,0.003348416,3.3484155629875203
20,48,0.002937335,2.937334584320335
20,49,0.002526878,2.5268783120247167
20,50,0.002117045,2.117045323162154
20,51,0.001707834,1.7078341991114447
20,52,0.001299244,1.2992435255501469
20,53,0.000891272,0.8912718924341888
20,54,0.000483918,0.4839178941039049
20,55,7.718012891529451e-05,0.077180129
25,25,0.020067794063744916,20.067794063744916
25,26,0.019632967661945312,19.63296766194531
25,27,0.019198819239352197,19.198819239352197
25,28,0.018765347211542677,18.76534721154268
25,29,0.018332549999030633,18.332549999030633
25,30,0.017900426027250074,17.900426027250074
25,31,0.017468973726519413,17.468973726519412
25,32,0.017038192,17.03819153204476
25,33,0.016608078,16.60807788387898
25,34,0.016178631226918427,16.178631226918426
25,35,0.015749850010875345,15.749850010875345
25,36,0.015321732690241688,15.321732690241689
25,37,0.014894277724402518,14.894277724402517
25,38,0.014467483577325248,14.467483577325249
25,39,0.014041349,14.04134871784867
25,40,0.013615871619505953,13.615871619505953
25,41,0.013191050760539383,13.191050760539383
25,42,0.012766884623881236,12.766884623881236
25,43,0.012343371697135003,12.343371697135003
25,44,0.011920510472554977,11.920510472554977
25,45,0.011498299,11.49829944701941
25,46,0.011076737122154404,11.076737122154404
25,47,0.010655822003941969,10.655822003941969
25,48,0.010235552603131252,10.235552603131252
25,49,0.009815927,9.815927434988183
25,50,0.009396945,9.396945019326605
25,51,0.008978604,8.978603880491947
25,52,0.008560903,8.560902547343007
25,53,0.00814384,8.143839553235095
25,54,0.007727413,7.727413436002302
25,55,0.007311623,7.311622737940629
25,56,0.006896466,6.896466005789344
25,57,0.006481942,6.481941790711865
25,58,0.006068049,6.068048648273855
25,59,0.005654785,5.654785138596716
25,60,0.00524215,5.242149825843904
25,61,0.004830141,4.830141278803818
25,62,0.004418758,4.418758070536623
25,63,0.004007999,4.007998778431258
25,64,0.003597862,3.5978619841879773
25,65,0.003188346,3.188346273802702
25,66,0.00277945,2.7794502375507264
25,67,0.002371172,2.3711724699708396
25,68,0.001963512,1.9635115698478782
25,69,0.001556466,1.5564661401983533
25,70,0.001150035,1.1500347882530162
25,71,0.000744216,0.7442161254408571
25,72,0.000339009,0.3390087673726313
30,30,0.027178703709311247,27.178703709311247
30,31,0.026736131749139736,26.736131749139737
30,32,0.026294253285879813,26.29425328587981
30,33,0.025853067,25.85306669076667
30,34,0.025412570340137063,25.412570340137062
30,35,0.024972762615413324,24.972762615413323
30,36,0.024533642,24.53364190305975
30,37,0.024095206594594295,24.095206594594295
30,38,0.023657455,23.65745508653766
30,39,0.023220386,23.22038578041654
30,40,0.022783997,22.783997082730373
30,41,0.022348287404908435,22.348287404908433
30,42,0.021913255,21.91325516347521
30,43,0.021478898779621357,21.478898779621357
30,44,0.021045216679616088,21.045216679616086
30,45,0.020612207,20.61220729456512
30,46,0.020179869060438088,20.179869060438087
30,47,0.019748200418048294,19.748200418048295
30,48,0.019317199813033648,19.317199813033646
30,49,0.018886866,18.886865695834558
30,50,0.018457197,18.45719652166262
30,51,0.018028191,18.028190750671012
30,52,0.017599846847439104,17.599846847439103
30,53,0.017172163,17.17216328152369
30,54,0.016745139,16.74513853
30,55,0.016318771063166735,16.318771063166736
30,56,0.015893059,15.89305937321148
30,57,0.015468001945509643,15.468001945509643
30,58,0.015043597,15.04359727
30,59,0.014619844,14.619843853039129
30,60,0.014196740187901184,14.196740187901183
30,61,0.013774284784241083,13.774284784241082
30,62,0.013352476153333724,13.352476153333724
30,63,0.012931312810998326,12.931312810998326
30,64,0.012510793277774303,12.510793277774303
30,65,0.012090916078339375,12.090916078339376
30,66,0.011671679742174987,11.671679742174987
30,67,0.011253082803164225,11.253082803164226
30,68,0.010835124,10.83512379966009
30,69,0.010417801274466296,10.417801274466296
30,70,0.010001113774821714,10.001113774821714
30,71,0.00958506,9.585059852382813
30,72,0.009169638,9.169638063207241
30,73,0.008754847,8.754846967737503
30,74,0.008340685,8.340685130782726
30,75,0.007927151,7.927151121503585
30,76,0.007514244,7.514243513394478
30,77,0.007101961,7.101960884266593
30,78,0.006690302,6.690301816230023
30,79,0.006279265,6.279264895673996
30,80,0.005868849,5.868848713423276
35,35,0.036537206,36.53720590697624
35,36,0.03608504,36.08503952168992
35,37,0.035633585,35.633585218186866
35,38,0.035182841,35.18284131567566
35,39,0.034732806,34.73280613865818
35,40,0.034283478016913185,34.283478016913186
35,41,0.033834855,33.834855285444355
35,42,0.033386936284499506,33.386936284499505
35,43,0.032939719359512426,32.939719359512424
35,44,0.032493203,32.49320286110896
35,45,0.032047385,32.04738514507026
35,46,0.031602265,31.60226457228407
35,47,0.031157839508955107,31.157839508955107
35,48,0.030714108326070664,30.714108326070665
35,49,0.030271069,30.27106939992276
35,50,0.029828721111809002,29.828721111809003
35,51,0.029387061848069072,29.387061848069074
35,52,0.028946090000065827,28.946090000065826
35,53,0.028505803964163894,28.505803964163896
35,54,0.028066202141705743,28.066202141705745
35,55,0.027627282938980605,27.627282938980606
35,56,0.027189045,27.18904477
35,57,0.026751486042999397,26.751486042999396
35,58,0.026314605186897246,26.314605186897246
35,59,0.025878401,25.87840062509386
35,60,0.025442870788442613,25.44287078844261
35,61,0.025008014112646405,25.008014112646404
35,62,0.024573829,24.57382903824094
35,63,0.024140314010573902,24.140314010573903
35,64,0.023707467479788642,23.707467479788644
35,65,0.023275287900803028,23.27528790080303
35,66,0.022843773733291398,22.843773733291396
35,67,0.022412923441663086,22.412923441663086
35,68,0.021982735495039454,21.982735495039453
35,69,0.021553208367417205,21.553208367417206
35,70,0.021124340537116735,21.124340537116733
35,71,0.02069613,20.69613048741028
35,72,0.020268576706140858,20.26857670614086
35,73,0.019841678,19.84167768578202
35,74,0.019415432,19.41543192342236
35,75,0.018989837920745156,18.989837920745156
35,76,0.018564894184013532,18.564894184013532
35,77,0.018140599224050837,18.14059922405084
35,78,0.017716951556224467,17.71695155622447
35,79,0.01729395,17.29394970042798
35,80,0.016871592181063776,16.871592181063775
40,40,0.048824088,48.824088213892665
40,41,0.048359911,48.35991139232938
40,42,0.047896469248580334,47.89646924858033
40,43,0.04743376,47.43376003978939
40,44,0.046971782028618604,46.971782028618605
40,45,0.046510533,46.51053348
40,46,0.046050012677228754,46.05001267722875
40,47,0.045590218,45.590217889687224
40,48,0.045131147,45.13114740507912
40,49,0.0446728,44.672799513290705
40,50,0.044215173,44.215172509578544
40,51,0.043758265,43.75826469
40,52,0.043302074,43.30207437424062
40,53,0.0428466,42.84659985983362
40,54,0.042391839,42.39183946793101
40,55,0.041937792,41.93779152037734
40,56,0.041484454,41.48445434427006
40,57,0.041031826271940366,41.03182627194037
40,58,0.040579906,40.57990564093089
40,59,0.040128691,40.12869079396949
40,60,0.03967818,39.678180078939214
40,61,0.039228372,39.22837184907241
40,62,0.038779264462355155,38.77926446235516
40,63,0.038330856282170214,38.33085628217022
40,64,0.037883146,37.88314567691567
40,65,0.037436131,37.43613102006352
40,66,0.036989811,36.98981069013713
40,67,0.036544183070693716,36.54418307069371
40,68,0.036099247,36.09924655
40,69,0.035655,35.65499952253251
40,70,0.035211440385918766,35.21144038591876
40,71,0.034768568,34.76856754395589
40,72,0.034326379,34.326379405070234
40,73,0.033884874,33.884874382597644
40,74,0.033444051,33.44405089475585
40,75,0.033003907,33.00390736498158
40,76,0.032564442,32.56444222084933
40,77,0.032125654,32.125653895349636
40,78,0.031687541,31.68754082613704
40,79,0.031250101,31.250101455670393
40,80,0.030813334,30.81333423119608
45,77,0.049986535,49.986535156993455
45,78,0.049530692889034895,49.530692889034896
45,79,0.049075558,49.07555776119252
45,80,0.048621128,48.62112812951157
